Title,Link,Description,Date
Hashim Bantah Tolak Salaman dengan Ara di Video Viral: Kami Kompak Cipika-cipiki,https://www.detik.com/properti/berita/d-7741147/hashim-bantah-tolak-salaman-dengan-ara-di-video-viral-kami-kompak-cipika-cipiki,,
"Tok! Lukisan Raden Saleh Laku Rp 24,4 Miliar Dilelang di Singapura",https://www.detik.com/pop/culture/d-7740704/tok-lukisan-raden-saleh-laku-rp-24-4-miliar-dilelang-di-singapura,,
Permintaan Maaf Ruben Amorim,https://sport.detik.com/sepakbola/liga-inggris/d-7740799/permintaan-maaf-ruben-amorim,,
Video: Tim Luthfi-Yasin Apresiasi Andika-Hendi Cabut Gugatan MK,https://news.detik.com/detiktv/d-7740927/video-tim-luthfi-yasin-apresiasi-andika-hendi-cabut-gugatan-mk,,
"Video: Mengulik Rotunda Gedung Capitol, Tempat Pelantikan Donald Trump",https://www.detik.com/properti/video-arsitektur/d-7741068/video-mengulik-rotunda-gedung-capitol-tempat-pelantikan-donald-trump,,
"Jokowi Memudar, PDI Perjuangan Melunak",https://news.detik.com/spotlight/d-7741286/jokowi-memudar-pdi-perjuangan-melunak,,
,https://news.detik.com/spotlight/d-7684468/hasil-pilkada-lima-daerah-terpanas,,
,https://news.detik.com/spotlight/d-7669050/kecemasan-di-tengah-deklarasi-kemenangan-pramono-rano,,
,https://travel.detik.com/travel-news/d-7741274/taman-nasional-komodo-cuan-rp-53-m-di-2024-sementara-pemkab-cuma-rp-2-6-m,,
,https://sport.detik.com/sepakbola/liga-italia/d-7740866/pengakuan-maldini-untuk-theo-hernandez-pewaris-sahku,,
,https://20.detik.com/detikupdate/20250120-250120082/video-detik-detik-mobil-jalan-sendiri-di-tol-lalu-tabrak-sepeda-di-jakut,,
,https://20.detik.com/detikupdate/20250120-250120086/video-asn-kemendiktisaintek-gelar-aksi-protes-ke-menteri-satryo,,
,https://20.detik.com/detikupdate/20250120-250120065/video-trump-vance-beri-hormat-ke-prajurit-as-yang-gugur-jelang-pelantikan,,
,https://news.detik.com/berita/d-7741145/asn-demo-menteri-satryo-kemdiktisaintek-sebut-mutasi-bentuk-dinamika,,
,https://news.detik.com/berita/d-7741281/farida-felix-ingin-bertemu-ibu-satpam-yang-dibunuh-anaknya-saya-akan-berlutut,,
,https://www.detik.com/properti/berita/d-7741147/hashim-bantah-tolak-salaman-dengan-ara-di-video-viral-kami-kompak-cipika-cipiki,,
,,,
,https://event.detik.com/638/detikcourse--sib-mandiri?utm_source=detikcom&utm_medium=channel_box,17 Feb 2025 - 04 Jul 2025,
,https://event.detik.com/640/pelatihan-spesial---membangun-aplikasi-web-sederhana-dengan-python-streamlit?utm_source=detikcom&utm_medium=channel_box,11 Feb 2025 - 12 Feb 2025,
,https://event.detik.com/643/pelatihan-spesial---pemanfaatan-ai-untuk-dunia-pendidikan?utm_source=detikcom&utm_medium=channel_box,29 Jan 2025 - 30 Jan 2025,
,https://event.detik.com/622/50-4---a-journey-of-iwa-k?utm_source=detikcom&utm_medium=channel_box,25 Jan 2025,
,https://event.detik.com/624/grestal-festival?utm_source=detikcom&utm_medium=channel_box,25 Jan 2025,
,https://event.detik.com/644/cave-fullball-awakening-day-2025?utm_source=detikcom&utm_medium=channel_box,23 Jan 2025,
,https://event.detik.com/610/mikie-funland-berastagi?utm_source=detikcom&utm_medium=channel_box,Rp 103.000,
,https://event.detik.com/593/crunchyroll-subscription-voucher?utm_source=detikcom&utm_medium=channel_box,08 Nov 2024 - 07 Nov 2025,
,https://event.detik.com/591/clay-cafe-----paint-your-own-pottery?utm_source=detikcom&utm_medium=channel_box,Rp 180.000,
,https://event.detik.com/457/barcode-gokart?utm_source=detikcom&utm_medium=channel_box,Rp 55.000,
